theme,url,img,lines,author
LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20241017_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen.,0x00005631cb46c820
LISTENING,/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20241016_wednesday_quote.jpg,I’m a very strong believer in listening and learning from others.,0x00005631cb427b80
LISTENING,/inspirational-quotes/8363-with-the-gift-of-listening-comes-the-gift-of,https://assets.passiton.com/quotes/quote_artwork/8363/medium/20241015_tuesday_quote.jpg,With the gift of listening comes the gift of healing.,0x00005631cb4bf5e8
LISTENING,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20241014_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors.,0x00005631cb49e7a8
COMMON GROUND,/inspirational-quotes/7560-touch-the-earth-speak-of-love-walk-on-common,https://assets.passiton.com/quotes/quote_artwork/7560/medium/20241011_friday_quote.jpg,"Touch the earth, speak of love, walk on common ground.",0x00005631cb480910
COMMON GROUND,/inspirational-quotes/8421-we-all-come-from-different-paths-in-life-but-we,https://assets.passiton.com/quotes/quote_artwork/8421/medium/20241010_thursday_quote.jpg,We all come from different paths in life but we can find common ground.,0x00005631cb505318
COMMON GROUND,/inspirational-quotes/8437-music-has-a-great-power-for-bringing-people,https://assets.passiton.com/quotes/quote_artwork/8437/medium/20241009_wednesday_quote.jpg,Music has a great power for bringing people together.,0x00005631cb4d3a20
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20241008_tuesday_quote.jpg,We all live with the objective of being happy; our lives are all different and yet the same.,0x00005631cb5658a8
COMMON GROUND,/inspirational-quotes/7619-we-can-find-common-ground-only-by-moving-to,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20241007_monday_quote.jpg,We can find common ground only by moving to higher ground.,0x00005631cb53da88
HONESTY,/inspirational-quotes/4053-no-legacy-is-so-rich-as-honesty,https://assets.passiton.com/quotes/quote_artwork/4053/medium/20241004_friday_quote.jpg,No legacy is so rich as honesty.,0x00005631cb5eb4f8
HONESTY,/inspirational-quotes/8004-don-t-ever-regret-being-honest-period,https://assets.passiton.com/quotes/quote_artwork/8004/medium/20241003_thursday_quote.jpg,Don’t ever regret being honest. Period.,0x00005631cb5afde0
HONESTY,/inspirational-quotes/8001-when-you-walk-a-life-of-honesty-you-live-a,https://assets.passiton.com/quotes/quote_artwork/8001/medium/20241002_wednesday_quote.jpg,"When you walk a life of honesty, you live a life of truth.",0x00005631cb670040
HONESTY,/inspirational-quotes/7793-honesty-is-the-fastest-way-to-prevent-a-mistake,https://assets.passiton.com/quotes/quote_artwork/7793/medium/20241001_tuesday_quote.jpg,Honesty is the fastest way to prevent a mistake from turning into a failure.,0x00005631cb650330
HONESTY,/inspirational-quotes/8002-be-true-to-your-work-your-word-and-your-friend,https://assets.passiton.com/quotes/quote_artwork/8002/medium/20240930_monday_quote.jpg,"Be true to your work, your word, and your friend.",0x00005631cb628ee8
PERSEVERANCE,/inspirational-quotes/3878-the-way-i-see-it-if-you-want-the-rainbow-you,https://assets.passiton.com/quotes/quote_artwork/3878/medium/20240927_friday_quote.jpg,"The way I see it, if you want the rainbow, you gotta put up with the rain.",0x00005631cb69b858
PERSEVERANCE,/inspirational-quotes/6062-the-only-person-who-can-really-motivate-you-is,https://assets.passiton.com/quotes/quote_artwork/6062/medium/20240926_thursday_quote.jpg,The only person who can really motivate you is you.,0x00005631cb67e708
PERSEVERANCE,/inspirational-quotes/4746-it-always-seems-impossible-until-its-done,https://assets.passiton.com/quotes/quote_artwork/4746/medium/20240925_wednesday_quote.jpg,It always seems impossible until its done.,0x00005631cb702260
PERSEVERANCE,/inspirational-quotes/8105-great-things-come-from-hard-work-and,https://assets.passiton.com/quotes/quote_artwork/8105/medium/20240924_tuesday_quote.jpg,Great things come from hard work and perseverance. No excuses.,0x00005631cb6e53b8
PERSEVERANCE,/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going,https://assets.passiton.com/quotes/quote_artwork/4076/medium/20240923_monday_quote.jpg,There are no shortcuts to any place worth going.,0x00005631cb75cad0
LEARNING,/inspirational-quotes/3030-im-not-afraid-of-storms-for-im-learning-to,https://assets.passiton.com/quotes/quote_artwork/3030/medium/20240920_friday_quote.jpg,"I'm not afraid of storms, for I'm learning to sail my ship.",0x00005631cb73d478
LEARNING,/inspirational-quotes/7672-an-investment-in-knowledge-always-pays-the-best,https://assets.passiton.com/quotes/quote_artwork/7672/medium/20240919_thursday_quote.jpg,An investment in knowledge always pays the best interest.,0x00005631cb7bf518
LEARNING,/inspirational-quotes/8343-a-love-of-learning-has-a-lot-to-do-with,https://assets.passiton.com/quotes/quote_artwork/8343/medium/20240918_wednesday_quote.jpg,A love of learning has a lot to do with learning that we are loved.,0x00005631cb7a80e8
LEARNING,/inspirational-quotes/7913-the-only-real-mistake-is-the-one-from-which-we,https://assets.passiton.com/quotes/quote_artwork/7913/medium/20240917_tuesday_quote.jpg,The only real mistake is the one from which we learn nothing.,0x00005631cb76d5d8
LEARNING,/inspirational-quotes/3920-learning-is-a-treasure-that-will-follow-its,https://assets.passiton.com/quotes/quote_artwork/3920/medium/20240916_monday_quote.jpg,Learning is a treasure that will follow its owner everywhere.,0x00005631cb807f70
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20240913_friday_quote.jpg,Believe in yourself and go for it.,0x00005631cb7d82e8
BELIEVE IN YOURSELF,/inspirational-quotes/7676-i-don-t-like-to-gamble-but-if-there-s-one,https://assets.passiton.com/quotes/quote_artwork/7676/medium/20240912_thursday_quote.jpg,"I don’t like to gamble, but if there’s one thing I’m willing to bet on, it’s myself.",0x00005631cb857520
BELIEVE IN YOURSELF,/inspirational-quotes/8271-magic-is-believing-in-yourself-if-you-can-do,https://assets.passiton.com/quotes/quote_artwork/8271/medium/20240911_wednesday_quote.jpg,"Magic is believing in yourself, if you can do that, you can make anything happen.",0x00005631cb83e7f0
BELIEVE IN YOURSELF,/inspirational-quotes/6966-it-is-our-privilege-and-our-adventure-to,https://assets.passiton.com/quotes/quote_artwork/6966/medium/20240910_tuesday_quote.jpg,It is our privilege and our adventure to discover our own special light.,0x00005631cb8bd5f0
BELIEVE IN YOURSELF,/inspirational-quotes/7677-always-be-yourself-and-have-faith-in-yourself,https://assets.passiton.com/quotes/quote_artwork/7677/medium/20240909_monday_quote.jpg,Always be yourself and have faith in yourself.,0x00005631cb89f438
HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20240906_friday_quote.jpg,"Work hard, be kind, and amazing things will happen.",0x00005631cb879b48
HARD WORK,/inspirational-quotes/8378-doing-the-best-at-this-moment-puts-you-in-the,https://assets.passiton.com/quotes/quote_artwork/8378/medium/20240905_thursday_quote.jpg,Doing the best at this moment puts you in the best place for the next moment.,0x00005631cb8f4398
HARD WORK,/inspirational-quotes/3549-if-it-wasnt-hard-everyone-would-do-it-its-the,https://assets.passiton.com/quotes/quote_artwork/3549/medium/20240904_wednesday_quote.jpg,"If it wasn't hard, everyone would do it. It's the hard that makes it great.",0x00005631cb8cd888
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20240903_tuesday_quote.jpg,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",0x00005631cb946468
